staff_id,first_name,last_name,nickname,address,city,state,zip,gender,doh,cell_number,home_number,agency_staff
45,Howard,Lewis,Raphael,16 Endicott Street,Vineland,GA,60282,M,2010-02-26 19:07:20,(330) 712-4466,(780) 760-6064,1
46,Kibo,Melendez,Bell,20 Humming Lane,Fall River,DC,46477,F,2009-10-03 23:41:02,(995) 462-1537,(344) 308-4545,1
47,Odette,Patton,Drake,20 Humming Lane,Centennial,WA,64860,F,2010-12-20 15:28:08,(423) 961-1054,(149) 684-8511,1
48,Florence,Brewer,Quail,16 Endicott Street,Saint Cloud,ID,23857,M,2009-09-27 09:35:54,(299) 254-2938,(887) 498-7395,0
49,Phoebe,Rose,Michelle,16 Endicott Street,Bellingham,AZ,77877,F,2010-04-17 11:29:44,(312) 240-9373,(361) 666-1348,0
50,Kieran,Stone,Lillith,16 Endicott Street,Oxnard,ME,10622,M,2009-12-24 22:03:34,(737) 101-3729,(491) 739-3989,1
51,Kameko,Garcia,Brynn,20 Humming Lane,Juneau,DE,43471,M,2010-09-19 04:08:48,(828) 558-9496,(890) 779-8229,1
52,Octavius,Castaneda,Olympia,16 Endicott Street,Milwaukee,CA,23052,M,2010-12-19 17:46:33,(115) 402-2029,(718) 148-2199,0
53,Kylie,Bartlett,Jorden,20 Humming Lane,Farrell,VT,15821,F,2009-08-04 20:09:05,(434) 454-1731,(314) 513-0745,0
54,Nehru,Irwin,Kai,20 Humming Lane,Nome,CA,25260,M,2009-11-14 17:39:45,(257) 989-2937,(277) 813-4889,1
55,Jasper,Allison,Martin,16 Endicott Street,East Hartford,HI,33080,F,2010-07-05 16:49:13,(702) 740-8186,(310) 109-4400,0
56,Dennis,Faulkner,Kasper,16 Endicott Street,Montgomery,TN,92194,M,2009-03-08 23:36:31,(456) 533-7438,(532) 932-8653,0
57,Calista,Charles,Venus,20 Humming Lane,Belpre,CT,64311,M,2009-02-18 17:44:59,(546) 984-4273,(691) 355-0779,1
58,Rafael,Bullock,Wyatt,20 Humming Lane,Rhinelander,MN,50307,F,2009-11-24 00:30:46,(816) 180-6829,(479) 249-4203,1
59,Sean,Schneider,Daryl,20 Humming Lane,Hornell,KS,03229,F,2010-01-18 09:32:52,(209) 929-4095,(589) 793-7810,0
60,Lacota,Glenn,Lila,20 Humming Lane,Holyoke,VA,85784,M,2009-03-08 22:11:32,(241) 237-6273,(201) 121-5741,0
61,Stella,Bowman,Yoshio,16 Endicott Street,Wheaton,MO,99941,F,2010-06-22 19:00:28,(787) 961-1622,(838) 689-4704,1
62,Amy,Turner,Jeanette,20 Humming Lane,Tupelo,MN,60058,F,2010-07-03 01:48:33,(192) 724-6523,(427) 231-4308,1
63,Warren,Garner,Colt,16 Endicott Street,Waterbury,IL,13505,F,2010-05-24 01:37:39,(309) 832-3594,(918) 317-6108,1
64,Aileen,Cain,Noel,16 Endicott Street,Dover,AK,63573,F,2009-03-31 06:14:05,(157) 652-5608,(885) 993-3950,1
65,Perry,Cantu,Hunter,16 Endicott Street,Saukville,PA,00568,F,2010-03-13 02:35:39,(207) 816-7916,(850) 701-1825,0
66,Asher,Gilliam,Josephine,20 Humming Lane,Hutchinson,NV,33231,F,2010-05-11 14:22:03,(578) 495-2450,(562) 498-1016,0
67,Kitra,Duran,Reagan,20 Humming Lane,Nichols Hills,DC,29507,M,2010-03-04 14:32:32,(922) 483-9552,(534) 541-0048,0
68,Ashely,Ballard,Janna,16 Endicott Street,Frederick,ME,15338,M,2009-01-27 17:04:57,(216) 769-1046,(567) 506-1166,1
69,Wylie,Ballard,Signe,16 Endicott Street,Chester,MI,23730,F,2009-03-02 14:28:49,(106) 143-5100,(262) 439-5294,0
70,Blossom,Sweet,Curran,20 Humming Lane,Cedar City,NH,68565,M,2009-05-13 21:43:34,(281) 392-4658,(944) 338-8471,1
71,Timon,Owen,Kibo,16 Endicott Street,Frisco,MI,06087,F,2010-05-28 18:47:07,(898) 546-4907,(396) 767-9544,1
72,Quynn,Terry,Alea,20 Humming Lane,Tulsa,NY,31639,F,2009-02-05 09:42:35,(856) 863-0508,(387) 822-8018,0
73,Adena,Kline,Lenore,20 Humming Lane,Topeka,PA,76132,M,2009-04-11 04:25:50,(960) 578-7565,(783) 892-5971,0
74,Micah,Vaughan,Debra,20 Humming Lane,Nogales,UT,10880,F,2009-07-28 06:55:41,(590) 166-8496,(422) 403-1724,0
75,Vanna,Frederick,Quynn,20 Humming Lane,Kona,TN,90791,M,2010-05-31 01:38:44,(576) 972-4048,(179) 704-4072,0
76,Charity,Barr,Lysandra,16 Endicott Street,Wheeling,OH,80356,F,2009-03-02 20:20:16,(487) 426-4051,(206) 278-0986,1
77,Sacha,Griffin,Linus,20 Humming Lane,Council Bluffs,NY,24112,F,2010-07-17 04:29:07,(488) 440-5467,(358) 234-5181,0
78,Alyssa,Reyes,Yen,20 Humming Lane,Anaheim,MN,74563,M,2011-01-11 07:39:18,(145) 612-8609,(954) 236-0430,1
79,Hilda,Juarez,Colleen,20 Humming Lane,Dalton,ND,09944,M,2009-06-22 07:21:14,(673) 282-1373,(734) 274-3195,0
80,Carl,Ellison,Paloma,20 Humming Lane,Fernley,OH,14397,M,2009-04-02 01:58:21,(707) 171-7159,(903) 298-8115,1
81,James,English,Adele,16 Endicott Street,Kingston,MA,11118,F,2009-09-22 08:48:57,(999) 159-0521,(519) 625-6786,0
82,Derek,Bullock,Karina,20 Humming Lane,Effingham,NM,49349,F,2009-02-10 03:32:55,(984) 506-9155,(512) 298-1106,0
83,Dorothy,Floyd,Lee,20 Humming Lane,Rolling Hills Estates,MT,44129,M,2009-05-17 15:20:09,(455) 510-9221,(213) 410-2437,1
84,Berk,Freeman,Carolyn,16 Endicott Street,Rutland,NM,50405,M,2009-09-26 20:27:16,(269) 591-6059,(351) 789-8920,1
85,Ariana,Morin,Ori,16 Endicott Street,Columbia,SC,35404,M,2010-11-09 13:09:42,(965) 115-3670,(678) 609-8055,1
86,Orson,Gutierrez,Rama,16 Endicott Street,Riverside,IA,74739,M,2009-07-05 22:30:41,(551) 321-8903,(192) 148-3211,1
87,Victor,Henderson,Morgan,20 Humming Lane,Clarksburg,CA,02153,F,2010-06-15 15:28:56,(851) 854-8479,(952) 273-3670,1
88,Vanna,Browning,Slade,16 Endicott Street,Cedar Falls,DE,59400,F,2010-04-22 12:22:58,(650) 129-9821,(554) 234-5254,0
89,Patience,Mason,Geoffrey,16 Endicott Street,Boulder,IL,31782,M,2010-02-12 06:57:53,(228) 949-4046,(481) 646-3216,0
90,Eden,Welch,Leah,16 Endicott Street,Eugene,RI,00228,F,2010-12-11 21:22:09,(776) 712-0046,(510) 726-4560,1
91,Vera,Roberts,Clare,16 Endicott Street,Santa Barbara,GA,05772,M,2011-01-06 17:52:08,(946) 992-4022,(496) 966-9541,0
92,Darius,Gregory,Zeus,16 Endicott Street,Hastings,NE,76022,M,2009-11-28 21:25:42,(243) 376-6726,(495) 937-6506,0
93,Jana,Cochran,Zephania,20 Humming Lane,Vineland,NM,85339,M,2009-07-22 15:10:49,(153) 879-2652,(129) 635-5875,1
94,Myra,Butler,Yoko,20 Humming Lane,West Hollywood,MO,49392,F,2009-04-15 12:19:34,(725) 478-4070,(435) 210-5715,0
95,Calista,Alvarez,Tatyana,16 Endicott Street,Kalamazoo,TN,10036,F,2009-05-23 11:38:17,(148) 129-4645,(751) 576-1860,1
96,Aristotle,Velez,Bradley,16 Endicott Street,Arlington,GA,80438,M,2010-04-17 15:13:08,(679) 325-0765,(527) 498-6977,1
97,Rhona,Wolf,Winifred,16 Endicott Street,Sharon,WI,81761,F,2010-01-12 08:10:10,(970) 745-2635,(612) 690-0709,0
98,Shaeleigh,Walton,Kennedy,16 Endicott Street,San Juan Capistrano,OK,88368,F,2010-08-21 08:37:06,(142) 788-3909,(919) 719-5981,0
99,Mercedes,Sims,Rhiannon,16 Endicott Street,Rancho Cordova,NC,55307,F,2009-10-04 07:13:31,(854) 864-7734,(920) 911-9807,0
100,Piper,Grant,Hilel,16 Endicott Street,Truth or Consequences,VA,66720,M,2010-12-20 03:53:11,(943) 788-6186,(305) 202-0854,0
101,Jolie,Hanson,Ivana,16 Endicott Street,Belleville,AK,18361,F,2011-01-02 18:26:30,(507) 694-9990,(111) 975-8292,0
102,Alexandra,Goodman,Sharon,16 Endicott Street,Long Beach,NC,88685,F,2011-01-17 00:37:30,(891) 892-8037,(895) 188-6925,1
103,Nolan,Cooper,acqueline,20 Humming Lane,Bay City,SC,37739,M,2009-06-21 19:03:38,(324) 451-1572,(458) 374-5465,1
104,Neville,Grimes,Sybil,20 Humming Lane,Rocky Mount,ND,60484,M,2010-02-15 19:52:10,(559) 931-3806,(651) 217-5814,0
105,Sybill,Bird,Yetta,16 Endicott Street,Pueblo,WY,42002,F,2009-07-06 09:06:02,(343) 250-8020,(395) 109-6996,0
106,Oliver,Mcintosh,Jamalia,16 Endicott Street,Anchorage,OR,94348,M,2010-01-17 17:45:43,(983) 103-2093,(289) 185-0515,0
107,Chantale,Fields,Ezekiel,16 Endicott Street,Erie,RI,60654,M,2009-11-04 03:53:45,(689) 672-7528,(479) 995-8181,1
108,Axel,Velasquez,Tara,20 Humming Lane,Midland,WI,41620,F,2010-03-10 07:41:36,(931) 550-9398,(357) 438-7476,1
109,Georgia,Moon,Maxwell,16 Endicott Street,Basin,SC,84225,M,2010-07-24 11:39:47,(757) 256-4038,(426) 892-0396,0
110,Yuri,Johnson,Tad,16 Endicott Street,Greensboro,KY,94351,F,2010-09-06 19:37:43,(178) 217-6334,(364) 751-4563,0
111,Wynter,Nichols,Ingrid,20 Humming Lane,Morrison,TN,03172,F,2009-10-26 03:50:51,(999) 334-5082,(607) 260-0564,1
112,Eden,Fleming,Zeus,16 Endicott Street,Fitchburg,KY,59059,F,2009-02-14 23:54:34,(938) 921-5287,(987) 551-6846,1
113,Preston,Webster,Shea,20 Humming Lane,McAllen,TN,71010,F,2010-10-15 01:19:30,(525) 702-6991,(517) 463-6335,1
114,Stella,Gutierrez,Bell,20 Humming Lane,Chino,IL,30855,M,2009-05-01 18:27:43,(682) 583-1915,(652) 987-1712,0
115,Faith,Lloyd,Pearl,20 Humming Lane,South Pasadena,SC,30922,M,2011-01-04 18:29:14,(166) 171-6235,(217) 830-5652,1
116,Inga,Bonner,Quinlan,20 Humming Lane,Lake Charles,SD,02778,M,2009-03-05 05:18:35,(504) 740-8577,(882) 545-7865,0
117,Blossom,Hahn,Hope,20 Humming Lane,Ketchikan,ND,54658,F,2009-06-21 13:26:18,(183) 660-4439,(987) 743-4678,1
118,Carly,Lamb,Allistair,16 Endicott Street,Bell Gardens,MN,33627,F,2010-03-28 08:10:39,(877) 407-2940,(484) 153-4784,1
119,Todd,Wade,Adria,20 Humming Lane,Eatontown,MD,15382,M,2010-04-03 17:41:49,(990) 840-2352,(886) 571-5605,1
120,Evangeline,Adkins,Jemima,20 Humming Lane,Brooklyn Park,WY,28828,M,2009-12-02 08:54:15,(798) 941-8373,(289) 795-9254,1
121,Morgan,Hopkins,Britanney,20 Humming Lane,Paramount,WV,72570,M,2010-02-27 17:42:52,(223) 697-6874,(824) 188-0531,1
122,Aiko,Burnett,Nayda,20 Humming Lane,Vallejo,VT,90823,F,2009-11-04 00:55:12,(211) 185-7108,(998) 520-6213,1
123,Anne,Dean,Marcia,20 Humming Lane,Dearborn,NC,09510,M,2010-07-28 19:36:21,(964) 162-0504,(811) 124-2269,0
124,Teegan,Mann,Keegan,16 Endicott Street,Moscow,MS,55729,M,2009-12-21 14:29:42,(918) 523-3344,(686) 956-8414,0
125,Piper,Travis,Noelle,16 Endicott Street,Lake Charles,ID,10638,F,2009-03-27 06:44:36,(614) 958-5454,(113) 537-2069,0
126,Carlos,Dejesus,Reese,20 Humming Lane,Jamestown,SD,65489,F,2009-12-13 23:02:02,(489) 834-8583,(866) 926-5483,1
127,Donna,Burch,Reese,16 Endicott Street,Salem,LA,38918,M,2010-01-06 19:06:18,(537) 111-9778,(133) 516-8486,0
128,Leah,Winters,Abel,16 Endicott Street,Gaithersburg,UT,70007,F,2009-12-11 04:31:11,(280) 969-9935,(203) 689-1491,0
129,Demetria,Baker,Price,20 Humming Lane,Rolling Hills Estates,SC,59040,M,2009-12-22 06:05:00,(199) 134-1377,(279) 660-1919,0
130,Sydney,Pena,Jolie,20 Humming Lane,Fairfax,MA,46746,M,2010-11-01 14:09:29,(709) 187-2667,(379) 388-9754,1
131,Sonya,Skinner,Camden,20 Humming Lane,Falls Church,SD,41450,F,2011-01-02 17:17:32,(486) 944-3245,(124) 889-2774,1
132,Amery,Donovan,Miriam,20 Humming Lane,Parkersburg,SD,86572,M,2010-02-19 14:54:35,(278) 414-4483,(385) 150-3629,1
133,Violet,Sanders,Joy,16 Endicott Street,Ponce,CO,32511,M,2009-03-28 02:50:21,(354) 747-9239,(832) 462-7502,0
134,Robert,Haley,Halee,16 Endicott Street,Rolling Hills Estates,NY,77132,M,2009-04-18 10:40:48,(798) 137-8602,(330) 843-4268,0
135,Isabelle,King,Flavia,16 Endicott Street,Evanston,CO,33331,F,2010-04-12 16:45:21,(692) 305-6454,(889) 257-6929,1
136,Kerry,Brooks,Rhoda,16 Endicott Street,La Crosse,DE,39421,M,2009-05-19 14:04:09,(374) 728-6177,(644) 674-9257,1
137,Zeus,Small,Yasir,20 Humming Lane,Christiansted,VA,10784,F,2009-08-30 14:44:14,(131) 208-8534,(373) 520-9289,1
138,Amos,Sweeney,Glenna,16 Endicott Street,Agawam,MI,97928,F,2009-08-20 08:38:03,(379) 703-0865,(165) 455-4648,1
139,Howard,Dudley,Gemma,16 Endicott Street,Chino Hills,CA,92661,F,2010-09-20 07:19:56,(743) 509-6749,(304) 942-0853,1
140,Morgan,Horne,Coby,16 Endicott Street,Hermosa Beach,MI,50704,F,2009-10-29 10:16:56,(238) 988-2831,(351) 104-1793,0
141,Farrah,Rodriguez,Katelyn,16 Endicott Street,Hartford,NH,94532,F,2009-02-15 08:41:59,(216) 147-2083,(234) 937-7652,0
142,Virginia,Sosa,Bree,16 Endicott Street,South Portland,MT,83399,F,2009-09-18 16:11:55,(576) 569-6045,(313) 976-9650,1
143,Gretchen,Mays,Vielka,20 Humming Lane,Hopkinsville,IL,23899,F,2011-01-01 14:50:40,(680) 626-8498,(367) 918-9539,1
144,Remedios,Cline,Addison,16 Endicott Street,Huntsville,IA,23914,M,2011-01-18 19:23:34,(403) 902-1690,(880) 429-4014,1
145,Kimberley,Robles,Cody,20 Humming Lane,Annapolis,NJ,03507,F,2009-05-04 14:43:34,(195) 896-6760,(964) 989-1373,1
146,Plato,Wooten,Basia,20 Humming Lane,Agawam,MA,19115,M,2010-11-16 11:22:23,(115) 885-8507,(409) 773-9530,1
147,Gretchen,Jacobs,Thane,16 Endicott Street,New Orleans,TX,35751,M,2009-11-01 09:18:16,(574) 172-3710,(559) 190-4253,0
148,Brooke,Diaz,Ethan,20 Humming Lane,Newport News,TX,92666,M,2010-03-26 20:02:02,(580) 300-7608,(513) 867-5798,0
149,Leah,Ochoa,Donovan,20 Humming Lane,North Las Vegas,MT,11702,F,2010-05-01 15:36:02,(128) 736-2590,(275) 964-5208,1
150,Olivia,Giles,Justin,16 Endicott Street,Louisville,NC,88616,F,2010-12-12 09:54:37,(525) 126-1911,(656) 864-8383,1
151,Florence,Barnett,Dalton,20 Humming Lane,Tuscaloosa,AK,68594,M,2010-01-14 19:20:08,(208) 129-7755,(504) 887-3185,1
152,Pandora,Maynard,Leigh,20 Humming Lane,Davenport,MI,80288,F,2009-12-01 18:32:23,(171) 936-3402,(385) 570-5461,1
153,Stephanie,Martinez,Maxwell,16 Endicott Street,Jeffersonville,OH,56437,F,2010-12-18 11:16:40,(746) 159-3348,(154) 515-7004,1
154,Keaton,Cantrell,Gloria,20 Humming Lane,Peabody,AK,85722,M,2009-09-30 17:27:57,(722) 260-2247,(405) 510-5619,1
155,Shaeleigh,Williams,Price,20 Humming Lane,San Gabriel,LA,64886,M,2010-09-20 15:51:02,(561) 819-2257,(353) 962-4522,1
156,Alexander,Matthews,Yoshio,16 Endicott Street,Dana Point,ME,08679,F,2010-11-11 16:01:03,(996) 143-4973,(798) 220-6265,1
157,Savannah,Wolfe,Carson,20 Humming Lane,Yakima,WI,99596,M,2009-12-06 17:25:55,(400) 474-0732,(938) 294-4846,0
158,Irene,Mcclain,Diana,16 Endicott Street,Menomonee Falls,ID,84884,F,2010-10-23 05:54:17,(692) 324-2633,(678) 424-1603,0
159,Kyla,Mercado,Kerry,16 Endicott Street,Lawrenceville,WV,40042,F,2010-12-20 07:16:13,(765) 309-9873,(124) 727-5741,0
160,Thaddeus,Becker,Margaret,16 Endicott Street,Lock Haven,NC,86652,M,2010-02-05 02:15:24,(618) 491-4252,(437) 378-0696,0
161,Ivan,Gallegos,Drake,16 Endicott Street,Connellsville,VA,19337,M,2010-08-28 08:06:41,(491) 543-9812,(602) 409-3425,0
162,Ivory,Knowles,Reuben,16 Endicott Street,Olympia,OK,42334,M,2010-08-19 17:45:38,(988) 701-4037,(130) 556-3011,1
163,Rogan,Skinner,Perry,20 Humming Lane,Geneva,AL,40639,F,2009-11-01 19:50:27,(307) 445-4750,(323) 334-5132,1
164,Melanie,Fleming,Chaim,16 Endicott Street,Rockville,ID,13421,M,2010-12-27 03:24:58,(772) 423-7560,(915) 148-1113,0
165,Tyler,Lloyd,Keaton,20 Humming Lane,Pulaski,WA,12685,F,2009-06-26 13:48:28,(288) 649-5546,(137) 251-6461,1
166,Guy,Burns,Risa,16 Endicott Street,Des Moines,AL,51139,M,2011-01-15 02:19:54,(783) 430-3785,(292) 664-0958,1
167,Quynn,Stone,Germaine,20 Humming Lane,Hope,MS,48432,M,2010-11-14 16:45:19,(722) 418-6102,(743) 791-0704,0
168,Ivor,Terry,Linda,16 Endicott Street,Grambling,MI,65397,M,2010-06-11 08:10:42,(253) 366-0097,(108) 812-4510,0
169,Julie,Jacobson,Illana,16 Endicott Street,Cape May,WV,72236,M,2009-04-30 13:02:53,(925) 913-0218,(443) 953-7081,1
170,Wyatt,Blackburn,Phyllis,16 Endicott Street,San Rafael,AL,68083,F,2010-01-24 10:17:42,(960) 289-5224,(861) 842-1438,1
171,Cailin,Taylor,Reagan,16 Endicott Street,Lock Haven,NJ,92263,F,2010-08-15 05:40:03,(439) 763-4243,(775) 213-6224,0
172,Reed,Baxter,Raven,16 Endicott Street,Zanesville,CA,47076,M,2010-04-02 07:19:35,(402) 755-4306,(442) 777-1579,0
173,Rama,Bender,Angela,16 Endicott Street,Lowell,TN,51753,F,2010-09-10 21:55:46,(198) 404-8574,(446) 926-6076,1
174,Damian,Kennedy,Silas,20 Humming Lane,Ada,AK,46635,F,2009-11-24 17:58:54,(598) 173-3193,(469) 435-8607,1
175,Basia,Poole,Hoyt,20 Humming Lane,Cerritos,CA,62050,F,2010-03-31 21:34:16,(334) 537-8063,(421) 138-1455,1
176,Oren,Odonnell,Gavin,16 Endicott Street,Forest Lake,NM,73217,M,2009-10-10 04:27:57,(545) 518-9409,(881) 347-3146,1
177,Ora,Evans,Omar,20 Humming Lane,Wilson,AZ,85520,F,2009-05-24 01:20:56,(590) 990-6819,(392) 438-8016,0
178,Cairo,Nielsen,Kuame,16 Endicott Street,Laguna Beach,AK,18209,F,2009-06-09 08:02:54,(198) 817-0195,(584) 600-2178,1
179,Charles,Vaughan,Chastity,20 Humming Lane,Batavia,CA,03101,M,2010-04-08 18:49:02,(280) 386-7603,(716) 884-2044,0
180,Janna,Malone,Cally,20 Humming Lane,Mount Pleasant,MN,57748,F,2010-02-12 05:00:10,(348) 951-6685,(528) 563-4195,0
181,Jordan,Bauer,Kaitlin,16 Endicott Street,Norwalk,ID,09358,F,2009-08-10 00:28:23,(100) 786-1156,(880) 976-7272,1
182,Gisela,Jones,Debra,16 Endicott Street,Milwaukee,HI,02103,M,2009-04-26 17:11:51,(890) 947-7377,(244) 416-7510,0
183,Nora,Dickson,Scarlett,20 Humming Lane,Fairbanks,AK,39130,F,2010-08-05 21:19:14,(878) 256-3907,(174) 685-5574,1
184,Aline,Kirby,Jaden,16 Endicott Street,Temple City,ME,36015,F,2009-12-26 20:02:48,(616) 623-6982,(838) 403-8183,1
185,Nevada,Patterson,Aimee,20 Humming Lane,Bowling Green,OH,22848,F,2010-12-18 09:15:00,(720) 603-4329,(558) 631-0081,1
186,Vincent,Rowe,Alexa,16 Endicott Street,Bangor,IA,13144,M,2009-12-22 19:29:04,(583) 802-3609,(120) 201-1991,1
187,Zenia,Juarez,Brennan,16 Endicott Street,Overland Park,MT,95588,F,2009-09-28 06:36:34,(916) 616-6367,(489) 471-5756,1
188,Dennis,Clayton,Tasha,16 Endicott Street,Charlottesville,MD,22839,F,2009-11-19 15:21:11,(550) 928-3077,(882) 549-7716,1
189,Elvis,Barker,Tate,16 Endicott Street,Elsmere,CT,05166,F,2009-03-18 19:16:28,(853) 821-6141,(639) 355-3852,1
190,Sheila,Guy,Dane,16 Endicott Street,Isle of Palms,TN,56800,M,2010-05-30 14:00:02,(313) 555-0943,(507) 359-4436,0
191,Petra,Keller,Joseph,20 Humming Lane,Agawam,CT,13327,M,2010-04-14 13:40:32,(838) 872-3796,(480) 827-7922,0
192,Damon,Gill,Hasad,16 Endicott Street,Lawndale,RI,54682,M,2010-01-17 01:40:30,(648) 445-7265,(533) 555-2886,1
