staff_id,first_name,last_name,nickname,address,city,state,zip,gender,doh,cell_number,home_number
58,Axel,Smith,Lana,16 Endicott Street,West Springfield,LA,16693,F,1969-12-31 19:00:00,(238) 873-2032,(874) 839-8255
59,Tanner,Kelley,Stewart,17 Ferry hill Road,Yukon,AZ,39177,M,1969-12-31 19:00:00,(502) 535-3101,(590) 745-6940
60,Christine,Herman,Brooke,255 Grapevine Road,Layton,AK,74787,F,1969-12-31 19:00:00,(325) 427-8275,(732) 772-9140
61,Kellie,Underwood,Amelia,255 Grapevine Road,Shamokin,NV,21857,F,1969-12-31 19:00:00,(841) 127-8595,(324) 464-9559
62,Nita,Gibbs,Kirby,17 Ferry hill Road,Somersworth,PA,51202,F,1969-12-31 19:00:00,(391) 896-0114,(754) 304-0496
63,Hu,Santos,Hayes,255 Grapevine Road,Truth or Consequences,MN,77168,M,1969-12-31 19:00:00,(650) 765-4297,(348) 734-1284
64,Ila,Pollard,Sydney,16 Endicott Street,Nampa,NC,57808,M,1969-12-31 19:00:00,(741) 948-2879,(210) 495-8737
65,Gavin,Wynn,Griffith,255 Grapevine Road,Uniontown,WA,78729,M,1969-12-31 19:00:00,(689) 559-6690,(658) 486-7898
66,Chancellor,Sykes,Randall,16 Endicott Street,Monroe,FL,03492,M,1969-12-31 19:00:00,(415) 115-7641,(608) 506-6940
67,Shad,Ayala,Charissa,16 Endicott Street,Evansville,SD,00626,M,1969-12-31 19:00:00,(514) 266-7741,(818) 758-6590
68,Hedley,Erickson,Tate,17 Ferry hill Road,Woodward,OR,38753,M,1969-12-31 19:00:00,(295) 937-7455,(131) 632-9516
69,Alma,Byers,Glenna,255 Grapevine Road,Pittston,WV,29424,F,1969-12-31 19:00:00,(611) 177-1087,(317) 923-9460
70,Reed,Hayden,Aladdin,16 Endicott Street,Fort Dodge,TN,35157,F,1969-12-31 19:00:00,(343) 330-5474,(704) 274-9148
71,Robin,Ruiz,Micah,255 Grapevine Road,Yuma,MA,16759,F,1969-12-31 19:00:00,(805) 470-0842,(691) 740-5264
72,Lee,Oneil,Tanner,255 Grapevine Road,Alhambra,OK,69475,M,1969-12-31 19:00:00,(569) 301-8036,(531) 706-3753
73,Vivien,Mathews,Beatrice,255 Grapevine Road,San Francisco,UT,44903,F,1969-12-31 19:00:00,(240) 287-6184,(257) 911-8627
74,Sade,Beach,Michael,16 Endicott Street,Brigham City,TN,17368,M,1969-12-31 19:00:00,(452) 646-8947,(166) 784-5910
75,John,Cunningham,Shoshana,255 Grapevine Road,Alexandria,OK,52004,M,1969-12-31 19:00:00,(505) 452-5192,(138) 949-4674
76,Amaya,Rivas,Chava,255 Grapevine Road,Portland,WV,31246,M,1969-12-31 19:00:00,(191) 284-2132,(627) 301-3730
77,Cheyenne,Bright,Allistair,16 Endicott Street,Irving,UT,57959,F,1969-12-31 19:00:00,(433) 675-2935,(958) 789-9996
78,Shelly,Hampton,Jonas,255 Grapevine Road,Barre,OH,52996,M,1969-12-31 19:00:00,(627) 652-5002,(992) 998-7336
79,Linus,Harmon,Hasad,16 Endicott Street,Woburn,AK,64691,F,1969-12-31 19:00:00,(437) 530-3332,(410) 747-2810
80,Sandra,Boyer,Brian,255 Grapevine Road,Sedalia,DE,28166,M,1969-12-31 19:00:00,(170) 402-7233,(706) 617-3281
81,Desiree,Nolan,Dominic,255 Grapevine Road,Martinsburg,RI,42112,M,1969-12-31 19:00:00,(352) 586-1836,(900) 292-4543
82,Abigail,Anthony,Cassidy,17 Ferry hill Road,Needham,SD,08051,F,1969-12-31 19:00:00,(486) 313-2234,(269) 703-7153
83,Devin,Cash,Caleb,16 Endicott Street,Dallas,MI,54230,M,1969-12-31 19:00:00,(537) 772-8325,(563) 616-8374
84,Elton,Alston,Sawyer,17 Ferry hill Road,Houma,OR,75213,F,1969-12-31 19:00:00,(968) 384-7583,(741) 125-3236
85,Bert,Roth,Glenna,17 Ferry hill Road,Chattanooga,OH,08267,M,1969-12-31 19:00:00,(523) 106-7588,(841) 288-2613
86,Chanda,Gibson,Ariel,17 Ferry hill Road,Blacksburg,VA,65298,F,1969-12-31 19:00:00,(151) 649-4816,(698) 311-4424
87,Brynne,Gould,Hollee,255 Grapevine Road,Brea,NJ,46107,M,1969-12-31 19:00:00,(572) 388-9862,(987) 411-5556
88,Lilah,Parsons,Constance,16 Endicott Street,Peoria,NC,47219,M,1969-12-31 19:00:00,(185) 857-7442,(667) 124-6966
89,Quail,Frost,Dorian,255 Grapevine Road,Port Jervis,MD,38923,M,1969-12-31 19:00:00,(715) 257-6257,(594) 550-2839
90,Veda,Austin,Harriet,17 Ferry hill Road,Rolling Hills,AL,35641,M,1969-12-31 19:00:00,(185) 342-8363,(976) 806-7009
91,Wyoming,Roth,Xantha,16 Endicott Street,Fullerton,LA,43838,F,1969-12-31 19:00:00,(810) 274-1509,(577) 676-5563
92,Gary,Webb,Odessa,16 Endicott Street,Danbury,CO,97407,M,1969-12-31 19:00:00,(818) 427-9045,(810) 474-7715
93,Jeremy,Guzman,Maite,17 Ferry hill Road,Missoula,RI,50478,M,1969-12-31 19:00:00,(967) 912-7221,(178) 883-3293
94,Dante,Martin,Brittany,255 Grapevine Road,Ontario,PA,64321,F,1969-12-31 19:00:00,(431) 762-8316,(349) 543-7044
95,Conan,Buckley,Cally,255 Grapevine Road,Salinas,IN,41473,F,1969-12-31 19:00:00,(450) 766-0165,(692) 746-9577
96,Alan,Maxwell,Alisa,16 Endicott Street,Kingsport,AZ,33693,F,1969-12-31 19:00:00,(603) 878-4611,(170) 657-6185
97,Ralph,Ellison,Kyla,255 Grapevine Road,Valdez,ID,64468,F,1969-12-31 19:00:00,(477) 198-1797,(364) 449-1751
98,Deacon,Holmes,Giselle,17 Ferry hill Road,Woodward,TX,70058,F,1969-12-31 19:00:00,(562) 250-4258,(740) 501-7451
99,Paloma,Langley,Zahir,17 Ferry hill Road,Reading,NJ,33706,M,1969-12-31 19:00:00,(673) 922-6732,(859) 301-9505
100,Priscilla,Shaffer,Baxter,255 Grapevine Road,Lawton,MD,08282,F,1969-12-31 19:00:00,(248) 980-6309,(419) 924-7057
101,Candice,Alvarez,Britanney,17 Ferry hill Road,Concord,TN,09158,F,1969-12-31 19:00:00,(387) 686-0950,(207) 354-3554
102,Callum,Rivers,Debra,16 Endicott Street,Flagstaff,WA,79156,M,1969-12-31 19:00:00,(438) 498-5958,(501) 166-2382
103,Celeste,Carson,Cade,17 Ferry hill Road,Syracuse,AZ,79807,F,1969-12-31 19:00:00,(158) 116-5186,(848) 230-3424
104,Hyatt,Buckley,Karen,16 Endicott Street,East St. Louis,MA,17375,F,1969-12-31 19:00:00,(929) 205-9541,(854) 389-7942
105,Jonas,Orr,Meghan,255 Grapevine Road,Sheboygan,NC,28547,M,1969-12-31 19:00:00,(635) 286-9412,(309) 252-6185
106,Craig,Pierce,Dean,17 Ferry hill Road,Lawrence,MN,24560,M,1969-12-31 19:00:00,(576) 889-1992,(519) 605-8775
107,Beatrice,Edwards,Yael,255 Grapevine Road,Dallas,MI,54220,F,1969-12-31 19:00:00,(292) 185-5041,(190) 875-9058
108,Dieter,Ramirez,Frances,17 Ferry hill Road,Shreveport,MS,59252,F,1969-12-31 19:00:00,(578) 520-5204,(163) 112-3953
109,Josephine,Holder,Shannon,16 Endicott Street,Iowa City,KS,50439,M,1969-12-31 19:00:00,(694) 809-8729,(852) 815-3546
110,Blossom,Skinner,Xenos,16 Endicott Street,McAllen,VA,81576,F,1969-12-31 19:00:00,(852) 581-4332,(595) 232-2210
111,April,Peters,Adam,17 Ferry hill Road,Sierra Vista,MI,04457,F,1969-12-31 19:00:00,(484) 826-3124,(547) 868-8381
112,Wynne,Newman,Leila,255 Grapevine Road,Oakland,NV,27611,F,1969-12-31 19:00:00,(388) 512-0508,(286) 567-4335
113,Lyle,Baird,Brielle,17 Ferry hill Road,Highland Park,CO,24712,F,1969-12-31 19:00:00,(352) 850-9375,(159) 485-9963
114,Christopher,Berger,Iona,17 Ferry hill Road,Rancho Cordova,NE,76128,M,1969-12-31 19:00:00,(899) 264-1145,(194) 168-2723
115,Elliott,Wilkinson,Tanya,16 Endicott Street,Olean,ID,19709,M,1969-12-31 19:00:00,(730) 985-0800,(582) 306-5051
116,Thomas,Castro,Illana,255 Grapevine Road,Miami Beach,WA,86426,F,1969-12-31 19:00:00,(124) 924-4076,(232) 283-0080
117,Baker,Griffith,Violet,255 Grapevine Road,Santa Clara,NE,28142,F,1969-12-31 19:00:00,(765) 842-9741,(682) 662-7915
118,Zenaida,Whitfield,Cade,17 Ferry hill Road,Hawaiian Gardens,HI,43518,F,1969-12-31 19:00:00,(602) 444-9266,(983) 899-8902
119,Yvonne,Hickman,Kasimir,255 Grapevine Road,Williamsport,MO,31734,F,1969-12-31 19:00:00,(880) 246-0299,(387) 390-2364
120,Leslie,Mcbride,Teagan,16 Endicott Street,Dothan,NH,05595,M,1969-12-31 19:00:00,(427) 716-9041,(954) 318-8773
121,Idona,Wilkerson,Sydnee,16 Endicott Street,Valparaiso,KY,97114,M,1969-12-31 19:00:00,(318) 450-3046,(325) 908-3962
122,Lars,Mcknight,Kim,255 Grapevine Road,Ketchikan,MI,94803,F,1969-12-31 19:00:00,(635) 771-9068,(142) 914-5702
123,Carlos,Huber,Nasim,255 Grapevine Road,Nevada City,IL,51286,M,1969-12-31 19:00:00,(679) 648-6806,(152) 754-9917
124,Zahir,Roth,Xavier,255 Grapevine Road,Marquette,WY,67046,M,1969-12-31 19:00:00,(843) 740-7025,(574) 591-4713
125,Cleo,Norton,Gary,255 Grapevine Road,Wilson,NY,28271,F,1969-12-31 19:00:00,(228) 243-7282,(306) 910-1831
126,Tyrone,Hahn,Philip,17 Ferry hill Road,Aliso Viejo,UT,00929,F,1969-12-31 19:00:00,(828) 110-2172,(384) 125-0630
127,Hanae,Gonzalez,Vincent,17 Ferry hill Road,Albuquerque,MT,41179,F,1969-12-31 19:00:00,(804) 987-1612,(872) 513-8422
128,Keaton,Fletcher,Renee,16 Endicott Street,Decatur,NM,58763,M,1969-12-31 19:00:00,(408) 121-9043,(272) 605-1326
129,Ursula,Lawrence,Dahlia,17 Ferry hill Road,San Rafael,MO,88886,M,1969-12-31 19:00:00,(187) 221-2938,(189) 315-2778
130,Carl,Mccullough,Halla,16 Endicott Street,Columbia,FL,86164,F,1969-12-31 19:00:00,(964) 893-8822,(184) 863-9272
131,Chelsea,Vaughan,Jena,16 Endicott Street,Great Falls,NC,13978,M,1969-12-31 19:00:00,(717) 649-6244,(973) 156-2412
132,Hayley,Keller,Vivien,16 Endicott Street,Avalon,UT,73490,F,1969-12-31 19:00:00,(497) 731-5156,(629) 132-4819
133,Hadassah,Dorsey,Scott,255 Grapevine Road,Morgan City,DC,15912,M,1969-12-31 19:00:00,(542) 798-3183,(518) 437-7565
134,Laurel,Dale,Phoebe,17 Ferry hill Road,West Allis,NJ,83625,F,1969-12-31 19:00:00,(346) 420-9483,(760) 326-8449
135,David,Guerrero,Kendall,255 Grapevine Road,Hutchinson,ID,74910,F,1969-12-31 19:00:00,(503) 897-5578,(847) 486-6225
136,Nyssa,Mitchell,Reuben,255 Grapevine Road,Midwest City,IN,37240,F,1969-12-31 19:00:00,(476) 155-8032,(998) 224-8826
137,Chancellor,Rosa,Zachary,16 Endicott Street,Guthrie,FL,28204,F,1969-12-31 19:00:00,(601) 634-5336,(675) 492-5720
138,Eugenia,May,Darrel,255 Grapevine Road,Lock Haven,VT,39141,M,1969-12-31 19:00:00,(853) 280-6651,(686) 407-6597
139,Acton,Kirk,Linus,255 Grapevine Road,Woonsocket,NM,70224,F,1969-12-31 19:00:00,(240) 701-3886,(953) 550-5061
140,Brynne,Moses,Robert,17 Ferry hill Road,Marshall,MI,86936,M,1969-12-31 19:00:00,(570) 457-2107,(713) 875-9433
141,Justine,Spears,Price,16 Endicott Street,Norman,ME,03473,M,1969-12-31 19:00:00,(400) 518-2210,(170) 503-0917
142,Lareina,Rios,Carla,17 Ferry hill Road,Clarksville,MT,80391,M,1969-12-31 19:00:00,(201) 412-4929,(969) 877-4586
143,Flynn,Black,Cailin,17 Ferry hill Road,Areceibo,NM,72173,M,1969-12-31 19:00:00,(959) 889-8486,(260) 746-0586
144,Libby,Snyder,Doris,16 Endicott Street,Annapolis,DE,44704,M,1969-12-31 19:00:00,(833) 320-4812,(373) 969-4424
145,Francesca,Fernandez,Len,255 Grapevine Road,Bayamon,SC,23967,F,1969-12-31 19:00:00,(886) 698-9728,(323) 848-1734
146,Rigel,Hunt,Colin,16 Endicott Street,La Habra,WY,76952,M,1969-12-31 19:00:00,(515) 234-4582,(163) 808-5401
147,Adrian,Joyce,Cathleen,16 Endicott Street,Vincennes,CA,30955,F,1969-12-31 19:00:00,(906) 589-5433,(519) 911-9633
148,Charity,Decker,John,16 Endicott Street,Spokane Valley,ND,28325,M,1969-12-31 19:00:00,(143) 577-0869,(178) 702-8275
149,Alec,Mcneil,Chanda,16 Endicott Street,Joliet,NJ,11854,F,1969-12-31 19:00:00,(413) 383-2519,(648) 923-9856
150,Rosalyn,Webb,Eagan,17 Ferry hill Road,Hoover,GA,68282,M,1969-12-31 19:00:00,(658) 277-8167,(497) 344-0471
151,Audra,Brennan,Griffith,17 Ferry hill Road,Attleboro,MA,68526,M,1969-12-31 19:00:00,(945) 203-5007,(558) 829-9335
152,Hamilton,Harrell,Upton,255 Grapevine Road,Mobile,NM,35771,M,1969-12-31 19:00:00,(844) 852-2001,(301) 636-0757
153,Alden,Byers,George,16 Endicott Street,Oakland,KY,45299,F,1969-12-31 19:00:00,(513) 615-9165,(525) 382-3961
154,Suki,Fields,Jeremy,16 Endicott Street,Waterloo,AL,90303,F,1969-12-31 19:00:00,(399) 454-9802,(725) 796-5210
155,Todd,Bentley,Ashton,16 Endicott Street,Alamogordo,TX,23312,M,1969-12-31 19:00:00,(776) 678-2039,(904) 215-0169
156,Brynne,Miles,Rebekah,16 Endicott Street,Ansonia,TN,07883,F,1969-12-31 19:00:00,(517) 656-5516,(667) 827-9944
157,Madison,Lawson,Eugenia,16 Endicott Street,Huntsville,KS,60787,F,1969-12-31 19:00:00,(438) 955-5134,(504) 458-0116
158,Rhiannon,Mclaughlin,Zahir,16 Endicott Street,Norwalk,ME,19848,M,1969-12-31 19:00:00,(143) 287-6910,(501) 627-4877
159,Neville,Hester,Cathleen,17 Ferry hill Road,Fayetteville,IA,15768,M,1969-12-31 19:00:00,(556) 477-9885,(169) 947-6899
160,Paula,Cooley,Eliana,16 Endicott Street,La Habra Heights,WY,87544,F,1969-12-31 19:00:00,(219) 104-1740,(217) 107-7202
161,Demetrius,Lamb,Darryl,17 Ferry hill Road,Beloit,SC,22641,M,1969-12-31 19:00:00,(568) 209-3273,(341) 653-8068
162,Megan,Peck,Moana,255 Grapevine Road,Uniontown,CO,26894,F,1969-12-31 19:00:00,(134) 318-5591,(239) 298-8656
163,Thomas,Huff,Rhiannon,16 Endicott Street,Berkeley,MA,86020,F,1969-12-31 19:00:00,(488) 989-0192,(280) 837-7855
164,Maisie,Michael,Wynne,17 Ferry hill Road,Somerville,VT,99587,F,1969-12-31 19:00:00,(675) 878-9687,(164) 810-4797
165,Hyacinth,Sears,Lisandra,17 Ferry hill Road,Miami Beach,AK,89055,M,1969-12-31 19:00:00,(437) 914-9898,(992) 799-1762
166,Palmer,Chandler,Davis,17 Ferry hill Road,Barre,DE,63090,M,1969-12-31 19:00:00,(259) 957-9406,(508) 360-9821
167,Geraldine,Glass,Forrest,16 Endicott Street,Wisconsin Rapids,IN,39199,F,1969-12-31 19:00:00,(560) 976-4756,(456) 288-5114
168,Cecilia,Caldwell,Orla,255 Grapevine Road,Boulder,DE,03473,F,1969-12-31 19:00:00,(408) 254-5117,(993) 207-3245
169,Ezekiel,Mcfarland,Mariko,16 Endicott Street,Peekskill,UT,25833,M,1969-12-31 19:00:00,(985) 193-0861,(935) 280-4469
170,Beau,Goodwin,Stewart,17 Ferry hill Road,Cambridge,OH,05381,F,1969-12-31 19:00:00,(744) 606-5416,(411) 881-9190
171,Wallace,Burnett,Rhonda,16 Endicott Street,Sioux Falls,CO,23478,F,1969-12-31 19:00:00,(845) 352-5734,(643) 844-7522
172,Caleb,Barton,Haley,17 Ferry hill Road,Newton,MN,21177,F,1969-12-31 19:00:00,(399) 133-6764,(201) 824-9370
173,Aphrodite,Herring,Jessamine,17 Ferry hill Road,Richland,MD,12712,M,1969-12-31 19:00:00,(454) 228-3301,(640) 921-0652
174,Herrod,Gillespie,Mariam,17 Ferry hill Road,San Antonio,NE,73238,F,1969-12-31 19:00:00,(668) 970-5105,(425) 178-4147
175,Vera,Davis,Dylan,17 Ferry hill Road,Baldwin Park,TN,68037,M,1969-12-31 19:00:00,(175) 381-6066,(841) 998-9113
176,Dennis,Combs,Dahlia,16 Endicott Street,Temecula,NV,26201,M,1969-12-31 19:00:00,(821) 998-7497,(486) 599-7124
177,Raphael,Bruce,Zeph,17 Ferry hill Road,Fairfax,AK,21153,F,1969-12-31 19:00:00,(528) 925-2017,(115) 239-0494
178,Ramona,Dorsey,Ishmael,16 Endicott Street,Olean,NJ,98616,M,1969-12-31 19:00:00,(418) 425-4316,(716) 200-8353
179,Susan,Cole,Thomas,17 Ferry hill Road,South Pasadena,MD,05313,M,1969-12-31 19:00:00,(492) 708-3154,(363) 616-4350
180,Molly,House,Jolene,17 Ferry hill Road,Lock Haven,FL,55957,M,1969-12-31 19:00:00,(660) 815-0786,(951) 312-9676
181,Ashton,Crane,Risa,16 Endicott Street,Guayama,MI,24485,F,1969-12-31 19:00:00,(103) 899-7410,(739) 306-3242
182,Beck,Rivas,Nayda,16 Endicott Street,Valparaiso,MD,93896,M,1969-12-31 19:00:00,(864) 474-0143,(207) 459-5264
183,Tucker,Mcbride,Shelby,255 Grapevine Road,Salisbury,LA,08673,F,1969-12-31 19:00:00,(570) 624-8312,(807) 272-0300
184,Neve,Stein,Ira,16 Endicott Street,Lander,RI,02683,F,1969-12-31 19:00:00,(271) 583-3915,(746) 156-7316
185,Abdul,Mcfarland,Ivy,17 Ferry hill Road,Manhattan,MO,87559,F,1969-12-31 19:00:00,(534) 559-1952,(520) 837-8910
186,Preston,Patterson,Lionel,255 Grapevine Road,Jordan Valley,AK,97431,M,1969-12-31 19:00:00,(811) 873-2041,(419) 430-1064
187,Celeste,Boyle,Ivy,255 Grapevine Road,Jamestown,NH,75596,F,1969-12-31 19:00:00,(706) 847-2666,(178) 132-2470
188,Lawrence,Casey,Minerva,17 Ferry hill Road,Ketchikan,OH,38134,M,1969-12-31 19:00:00,(812) 589-5575,(908) 489-0961
189,Shana,Bentley,Stacy,255 Grapevine Road,Cortland,DE,66478,M,1969-12-31 19:00:00,(684) 250-1685,(585) 447-2565
190,Yvette,Skinner,Palmer,17 Ferry hill Road,Gloucester,IN,17792,M,1969-12-31 19:00:00,(620) 316-7921,(404) 960-9575
191,Xavier,Bradley,Sawyer,255 Grapevine Road,Agoura Hills,NJ,88519,M,1969-12-31 19:00:00,(365) 386-6916,(615) 280-1999
192,Channing,Tyler,Kristen,17 Ferry hill Road,Hialeah,WY,92758,F,1969-12-31 19:00:00,(556) 462-0781,(683) 673-7789
193,Logan,Dillon,Thor,17 Ferry hill Road,Spartanburg,LA,14861,F,1969-12-31 19:00:00,(342) 134-7183,(911) 790-3293
194,Veronica,Rogers,Omar,17 Ferry hill Road,Tuscaloosa,VA,03956,M,1969-12-31 19:00:00,(806) 180-0917,(910) 204-0815
195,Astra,Berger,Hu,17 Ferry hill Road,Logan,MS,05912,F,1969-12-31 19:00:00,(120) 938-9580,(631) 546-5506
